SrNo,Parameter,Unit,Month,Year,Value,Data Source
1,pH,-,Jan,2018,6.5,CPCB
2,Conductivity,µs/cm,Jan,2018,,CPCB
3,DO,mg/l,Jan,2018,0.0,CPCB
4,COD,mg/l,Jan,2018,198.0,CPCB
5,BOD,mg/l,Jan,2018,79.0,CPCB
6,NO3-N,mg/l,Jan,2018,,CPCB
7,NH3-N,mg/l,Jan,2018,20.0,CPCB
8,Phosphate,mg/l,Jan,2018,,CPCB
9,TSS,mg/l,Jan,2018,84.0,CPCB
10,TDS,mg/l,Jan,2018,,CPCB
11,FS,mg/l,Jan,2018,,CPCB
12,Turbidity,NTU,Jan,2018,,CPCB
13,TH as CaCO3,mg/l,Jan,2018,,CPCB
14,Ca as CaCO3,mg/l,Jan,2018,,CPCB
15,Mg as CaCO3,mg/l,Jan,2018,,CPCB
16,Sulphate,mg/l,Jan,2018,,CPCB
17,Chloride,mg/l,Jan,2018,,CPCB
18,Total alkalinity as CaCO3,mg/l,Jan,2018,,CPCB
19,P-Alkalinity,mg/l,Jan,2018,,CPCB
20,Fluoride,mg/l,Jan,2018,,CPCB
21,Colour,Hazen,Jan,2018,,CPCB
22,Boron(B),mg/l,Jan,2018,,CPCB
23,TKN,mg/l,Jan,2018,,CPCB
24,Potassium,mg/l,Jan,2018,,CPCB
25,Sodium,mg/l,Jan,2018,,CPCB
26,Total Coliform,MPN/100ml,Jan,2018,93000.0,CPCB
27,Faecal Coliform,MPN/100ml,Jan,2018,61000.0,CPCB
28,pH,-,Feb,2018,7.0,CPCB
29,Conductivity,µs/cm,Feb,2018,,CPCB
30,DO,mg/l,Feb,2018,3.9,CPCB
31,COD,mg/l,Feb,2018,198.0,CPCB
32,BOD,mg/l,Feb,2018,96.0,CPCB
33,NO3-N,mg/l,Feb,2018,,CPCB
34,NH3-N,mg/l,Feb,2018,26.0,CPCB
35,Phosphate,mg/l,Feb,2018,,CPCB
36,TSS,mg/l,Feb,2018,72.0,CPCB
37,TDS,mg/l,Feb,2018,,CPCB
38,FS,mg/l,Feb,2018,,CPCB
39,Turbidity,NTU,Feb,2018,,CPCB
40,TH as CaCO3,mg/l,Feb,2018,,CPCB
41,Ca as CaCO3,mg/l,Feb,2018,,CPCB
42,Mg as CaCO3,mg/l,Feb,2018,,CPCB
43,Sulphate,mg/l,Feb,2018,,CPCB
44,Chloride,mg/l,Feb,2018,,CPCB
45,Total alkalinity as CaCO3,mg/l,Feb,2018,,CPCB
46,P-Alkalinity,mg/l,Feb,2018,,CPCB
47,Fluoride,mg/l,Feb,2018,,CPCB
48,Colour,Hazen,Feb,2018,,CPCB
49,Boron(B),mg/l,Feb,2018,,CPCB
50,TKN,mg/l,Feb,2018,,CPCB
51,Potassium,mg/l,Feb,2018,,CPCB
52,Sodium,mg/l,Feb,2018,,CPCB
53,Total Coliform,MPN/100ml,Feb,2018,930.0,CPCB
54,Faecal Coliform,MPN/100ml,Feb,2018,610.0,CPCB
55,pH,-,March,2018,7.2,CPCB
56,Conductivity,µs/cm,March,2018,,CPCB
57,DO,mg/l,March,2018,3.5,CPCB
58,COD,mg/l,March,2018,200.0,CPCB
59,BOD,mg/l,March,2018,47.0,CPCB
60,NO3-N,mg/l,March,2018,,CPCB
61,NH3-N,mg/l,March,2018,32.0,CPCB
62,Phosphate,mg/l,March,2018,,CPCB
63,TSS,mg/l,March,2018,73.0,CPCB
64,TDS,mg/l,March,2018,,CPCB
65,FS,mg/l,March,2018,,CPCB
66,Turbidity,NTU,March,2018,,CPCB
67,TH as CaCO3,mg/l,March,2018,,CPCB
68,Ca as CaCO3,mg/l,March,2018,,CPCB
69,Mg as CaCO3,mg/l,March,2018,,CPCB
70,Sulphate,mg/l,March,2018,,CPCB
71,Chloride,mg/l,March,2018,,CPCB
72,Total alkalinity as CaCO3,mg/l,March,2018,,CPCB
73,P-Alkalinity,mg/l,March,2018,,CPCB
74,Fluoride,mg/l,March,2018,,CPCB
75,Colour,Hazen,March,2018,,CPCB
76,Boron(B),mg/l,March,2018,,CPCB
77,TKN,mg/l,March,2018,,CPCB
78,Potassium,mg/l,March,2018,,CPCB
79,Sodium,mg/l,March,2018,,CPCB
80,Total Coliform,MPN/100ml,March,2018,14000.0,CPCB
81,Faecal Coliform,MPN/100ml,March,2018,11000.0,CPCB
82,pH,-,April,2018,7.1,CPCB
83,Conductivity,µs/cm,April,2018,,CPCB
84,DO,mg/l,April,2018,3.3,CPCB
85,COD,mg/l,April,2018,187.0,CPCB
86,BOD,mg/l,April,2018,63.0,CPCB
87,NO3-N,mg/l,April,2018,,CPCB
88,NH3-N,mg/l,April,2018,25.0,CPCB
89,Phosphate,mg/l,April,2018,,CPCB
90,TSS,mg/l,April,2018,85.0,CPCB
91,TDS,mg/l,April,2018,,CPCB
92,FS,mg/l,April,2018,,CPCB
93,Turbidity,NTU,April,2018,,CPCB
94,TH as CaCO3,mg/l,April,2018,,CPCB
95,Ca as CaCO3,mg/l,April,2018,,CPCB
96,Mg as CaCO3,mg/l,April,2018,,CPCB
97,Sulphate,mg/l,April,2018,,CPCB
98,Chloride,mg/l,April,2018,,CPCB
99,Total alkalinity as CaCO3,mg/l,April,2018,,CPCB
100,P-Alkalinity,mg/l,April,2018,,CPCB
101,Fluoride,mg/l,April,2018,,CPCB
102,Colour,Hazen,April,2018,,CPCB
103,Boron(B),mg/l,April,2018,,CPCB
104,TKN,mg/l,April,2018,,CPCB
105,Potassium,mg/l,April,2018,,CPCB
106,Sodium,mg/l,April,2018,,CPCB
107,Total Coliform,MPN/100ml,April,2018,9600.0,CPCB
108,Faecal Coliform,MPN/100ml,April,2018,5400.0,CPCB
109,pH,-,May,2018,7.0,CPCB
110,Conductivity,µs/cm,May,2018,,CPCB
111,DO,mg/l,May,2018,2.9,CPCB
112,COD,mg/l,May,2018,130.0,CPCB
113,BOD,mg/l,May,2018,58.0,CPCB
114,NO3-N,mg/l,May,2018,,CPCB
115,NH3-N,mg/l,May,2018,32.0,CPCB
116,Phosphate,mg/l,May,2018,,CPCB
117,TSS,mg/l,May,2018,65.0,CPCB
118,TDS,mg/l,May,2018,,CPCB
119,FS,mg/l,May,2018,,CPCB
120,Turbidity,NTU,May,2018,,CPCB
121,TH as CaCO3,mg/l,May,2018,,CPCB
122,Ca as CaCO3,mg/l,May,2018,,CPCB
123,Mg as CaCO3,mg/l,May,2018,,CPCB
124,Sulphate,mg/l,May,2018,,CPCB
125,Chloride,mg/l,May,2018,,CPCB
126,Total alkalinity as CaCO3,mg/l,May,2018,,CPCB
127,P-Alkalinity,mg/l,May,2018,,CPCB
128,Fluoride,mg/l,May,2018,,CPCB
129,Colour,Hazen,May,2018,,CPCB
130,Boron(B),mg/l,May,2018,,CPCB
131,TKN,mg/l,May,2018,,CPCB
132,Potassium,mg/l,May,2018,,CPCB
133,Sodium,mg/l,May,2018,,CPCB
134,Total Coliform,MPN/100ml,May,2018,170000.0,CPCB
135,Faecal Coliform,MPN/100ml,May,2018,61000.0,CPCB
136,pH,-,June,2018,6.9,CPCB
137,Conductivity,µs/cm,June,2018,,CPCB
138,DO,mg/l,June,2018,1.9,CPCB
139,COD,mg/l,June,2018,128.0,CPCB
140,BOD,mg/l,June,2018,49.0,CPCB
141,NO3-N,mg/l,June,2018,,CPCB
142,NH3-N,mg/l,June,2018,23.0,CPCB
143,Phosphate,mg/l,June,2018,,CPCB
144,TSS,mg/l,June,2018,56.0,CPCB
145,TDS,mg/l,June,2018,,CPCB
146,FS,mg/l,June,2018,,CPCB
147,Turbidity,NTU,June,2018,,CPCB
148,TH as CaCO3,mg/l,June,2018,,CPCB
149,Ca as CaCO3,mg/l,June,2018,,CPCB
150,Mg as CaCO3,mg/l,June,2018,,CPCB
151,Sulphate,mg/l,June,2018,,CPCB
152,Chloride,mg/l,June,2018,,CPCB
153,Total alkalinity as CaCO3,mg/l,June,2018,,CPCB
154,P-Alkalinity,mg/l,June,2018,,CPCB
155,Fluoride,mg/l,June,2018,,CPCB
156,Colour,Hazen,June,2018,,CPCB
157,Boron(B),mg/l,June,2018,,CPCB
158,TKN,mg/l,June,2018,,CPCB
159,Potassium,mg/l,June,2018,,CPCB
160,Sodium,mg/l,June,2018,,CPCB
161,Total Coliform,MPN/100ml,June,2018,270000.0,CPCB
162,Faecal Coliform,MPN/100ml,June,2018,69000.0,CPCB
163,pH,-,July,2018,6.9,CPCB
164,Conductivity,µs/cm,July,2018,,CPCB
165,DO,mg/l,July,2018,3.2,CPCB
166,COD,mg/l,July,2018,95.0,CPCB
167,BOD,mg/l,July,2018,41.0,CPCB
168,NO3-N,mg/l,July,2018,,CPCB
169,NH3-N,mg/l,July,2018,30.0,CPCB
170,Phosphate,mg/l,July,2018,,CPCB
171,TSS,mg/l,July,2018,43.0,CPCB
172,TDS,mg/l,July,2018,,CPCB
173,FS,mg/l,July,2018,,CPCB
174,Turbidity,NTU,July,2018,,CPCB
175,TH as CaCO3,mg/l,July,2018,,CPCB
176,Ca as CaCO3,mg/l,July,2018,,CPCB
177,Mg as CaCO3,mg/l,July,2018,,CPCB
178,Sulphate,mg/l,July,2018,,CPCB
179,Chloride,mg/l,July,2018,,CPCB
180,Total alkalinity as CaCO3,mg/l,July,2018,,CPCB
181,P-Alkalinity,mg/l,July,2018,,CPCB
182,Fluoride,mg/l,July,2018,,CPCB
183,Colour,Hazen,July,2018,,CPCB
184,Boron(B),mg/l,July,2018,,CPCB
185,TKN,mg/l,July,2018,,CPCB
186,Potassium,mg/l,July,2018,,CPCB
187,Sodium,mg/l,July,2018,,CPCB
188,Total Coliform,MPN/100ml,July,2018,170000.0,CPCB
189,Faecal Coliform,MPN/100ml,July,2018,140000.0,CPCB
190,pH,-,Aug,2018,7.1,CPCB
191,Conductivity,µs/cm,Aug,2018,,CPCB
192,DO,mg/l,Aug,2018,4.9,CPCB
193,COD,mg/l,Aug,2018,71.0,CPCB
194,BOD,mg/l,Aug,2018,21.0,CPCB
195,NO3-N,mg/l,Aug,2018,,CPCB
196,NH3-N,mg/l,Aug,2018,21.0,CPCB
197,Phosphate,mg/l,Aug,2018,,CPCB
198,TSS,mg/l,Aug,2018,19.0,CPCB
199,TDS,mg/l,Aug,2018,,CPCB
200,FS,mg/l,Aug,2018,,CPCB
201,Turbidity,NTU,Aug,2018,,CPCB
202,TH as CaCO3,mg/l,Aug,2018,,CPCB
203,Ca as CaCO3,mg/l,Aug,2018,,CPCB
204,Mg as CaCO3,mg/l,Aug,2018,,CPCB
205,Sulphate,mg/l,Aug,2018,,CPCB
206,Chloride,mg/l,Aug,2018,,CPCB
207,Total alkalinity as CaCO3,mg/l,Aug,2018,,CPCB
208,P-Alkalinity,mg/l,Aug,2018,,CPCB
209,Fluoride,mg/l,Aug,2018,,CPCB
210,Colour,Hazen,Aug,2018,,CPCB
211,Boron(B),mg/l,Aug,2018,,CPCB
212,TKN,mg/l,Aug,2018,,CPCB
213,Potassium,mg/l,Aug,2018,,CPCB
214,Sodium,mg/l,Aug,2018,,CPCB
215,Total Coliform,MPN/100ml,Aug,2018,76000.0,CPCB
216,Faecal Coliform,MPN/100ml,Aug,2018,54000.0,CPCB
217,pH,-,Sept,2018,7.3,CPCB
218,Conductivity,µs/cm,Sept,2018,,CPCB
219,DO,mg/l,Sept,2018,4.5,CPCB
220,COD,mg/l,Sept,2018,61.0,CPCB
221,BOD,mg/l,Sept,2018,28.0,CPCB
222,NO3-N,mg/l,Sept,2018,,CPCB
223,NH3-N,mg/l,Sept,2018,28.0,CPCB
224,Phosphate,mg/l,Sept,2018,,CPCB
225,TSS,mg/l,Sept,2018,46.0,CPCB
226,TDS,mg/l,Sept,2018,,CPCB
227,FS,mg/l,Sept,2018,,CPCB
228,Turbidity,NTU,Sept,2018,,CPCB
229,TH as CaCO3,mg/l,Sept,2018,,CPCB
230,Ca as CaCO3,mg/l,Sept,2018,,CPCB
231,Mg as CaCO3,mg/l,Sept,2018,,CPCB
232,Sulphate,mg/l,Sept,2018,,CPCB
233,Chloride,mg/l,Sept,2018,,CPCB
234,Total alkalinity as CaCO3,mg/l,Sept,2018,,CPCB
235,P-Alkalinity,mg/l,Sept,2018,,CPCB
236,Fluoride,mg/l,Sept,2018,,CPCB
237,Colour,Hazen,Sept,2018,,CPCB
238,Boron(B),mg/l,Sept,2018,,CPCB
239,TKN,mg/l,Sept,2018,,CPCB
240,Potassium,mg/l,Sept,2018,,CPCB
241,Sodium,mg/l,Sept,2018,,CPCB
242,Total Coliform,MPN/100ml,Sept,2018,930000.0,CPCB
243,Faecal Coliform,MPN/100ml,Sept,2018,690000.0,CPCB
244,pH,-,Oct,2018,7.4,CPCB
245,Conductivity,µs/cm,Oct,2018,,CPCB
246,DO,mg/l,Oct,2018,4.2,CPCB
247,COD,mg/l,Oct,2018,56.0,CPCB
248,BOD,mg/l,Oct,2018,28.0,CPCB
249,NO3-N,mg/l,Oct,2018,,CPCB
250,NH3-N,mg/l,Oct,2018,37.0,CPCB
251,Phosphate,mg/l,Oct,2018,,CPCB
252,TSS,mg/l,Oct,2018,30.0,CPCB
253,TDS,mg/l,Oct,2018,,CPCB
254,FS,mg/l,Oct,2018,,CPCB
255,Turbidity,NTU,Oct,2018,,CPCB
256,TH as CaCO3,mg/l,Oct,2018,,CPCB
257,Ca as CaCO3,mg/l,Oct,2018,,CPCB
258,Mg as CaCO3,mg/l,Oct,2018,,CPCB
259,Sulphate,mg/l,Oct,2018,,CPCB
260,Chloride,mg/l,Oct,2018,,CPCB
261,Total alkalinity as CaCO3,mg/l,Oct,2018,,CPCB
262,P-Alkalinity,mg/l,Oct,2018,,CPCB
263,Fluoride,mg/l,Oct,2018,,CPCB
264,Colour,Hazen,Oct,2018,,CPCB
265,Boron(B),mg/l,Oct,2018,,CPCB
266,TKN,mg/l,Oct,2018,,CPCB
267,Potassium,mg/l,Oct,2018,,CPCB
268,Sodium,mg/l,Oct,2018,,CPCB
269,Total Coliform,MPN/100ml,Oct,2018,8000000.0,CPCB
270,Faecal Coliform,MPN/100ml,Oct,2018,4500000.0,CPCB
271,pH,-,Nov,2018,7.2,CPCB
272,Conductivity,µs/cm,Nov,2018,,CPCB
273,DO,mg/l,Nov,2018,2.6,CPCB
274,COD,mg/l,Nov,2018,126.0,CPCB
275,BOD,mg/l,Nov,2018,51.0,CPCB
276,NO3-N,mg/l,Nov,2018,,CPCB
277,NH3-N,mg/l,Nov,2018,41.0,CPCB
278,Phosphate,mg/l,Nov,2018,,CPCB
279,TSS,mg/l,Nov,2018,45.0,CPCB
280,TDS,mg/l,Nov,2018,,CPCB
281,FS,mg/l,Nov,2018,,CPCB
282,Turbidity,NTU,Nov,2018,,CPCB
283,TH as CaCO3,mg/l,Nov,2018,,CPCB
284,Ca as CaCO3,mg/l,Nov,2018,,CPCB
285,Mg as CaCO3,mg/l,Nov,2018,,CPCB
286,Sulphate,mg/l,Nov,2018,,CPCB
287,Chloride,mg/l,Nov,2018,,CPCB
288,Total alkalinity as CaCO3,mg/l,Nov,2018,,CPCB
289,P-Alkalinity,mg/l,Nov,2018,,CPCB
290,Fluoride,mg/l,Nov,2018,,CPCB
291,Colour,Hazen,Nov,2018,,CPCB
292,Boron(B),mg/l,Nov,2018,,CPCB
293,TKN,mg/l,Nov,2018,,CPCB
294,Potassium,mg/l,Nov,2018,,CPCB
295,Sodium,mg/l,Nov,2018,,CPCB
296,Total Coliform,MPN/100ml,Nov,2018,1800000.0,CPCB
297,Faecal Coliform,MPN/100ml,Nov,2018,140000.0,CPCB
298,pH,-,Dec,2018,7.1,CPCB
299,Conductivity,µs/cm,Dec,2018,,CPCB
300,DO,mg/l,Dec,2018,1.2,CPCB
301,COD,mg/l,Dec,2018,135.0,CPCB
302,BOD,mg/l,Dec,2018,58.0,CPCB
303,NO3-N,mg/l,Dec,2018,,CPCB
304,NH3-N,mg/l,Dec,2018,34.0,CPCB
305,Phosphate,mg/l,Dec,2018,,CPCB
306,TSS,mg/l,Dec,2018,39.0,CPCB
307,TDS,mg/l,Dec,2018,,CPCB
308,FS,mg/l,Dec,2018,,CPCB
309,Turbidity,NTU,Dec,2018,,CPCB
310,TH as CaCO3,mg/l,Dec,2018,,CPCB
311,Ca as CaCO3,mg/l,Dec,2018,,CPCB
312,Mg as CaCO3,mg/l,Dec,2018,,CPCB
313,Sulphate,mg/l,Dec,2018,,CPCB
314,Chloride,mg/l,Dec,2018,,CPCB
315,Total alkalinity as CaCO3,mg/l,Dec,2018,,CPCB
316,P-Alkalinity,mg/l,Dec,2018,,CPCB
317,Fluoride,mg/l,Dec,2018,,CPCB
318,Colour,Hazen,Dec,2018,,CPCB
319,Boron(B),mg/l,Dec,2018,,CPCB
320,TKN,mg/l,Dec,2018,,CPCB
321,Potassium,mg/l,Dec,2018,,CPCB
322,Sodium,mg/l,Dec,2018,,CPCB
323,Total Coliform,MPN/100ml,Dec,2018,2700000.0,CPCB
324,Faecal Coliform,MPN/100ml,Dec,2018,140000.0,CPCB
