SrNo,Parameter,Unit,Month,Value,Data Source
1,pH,-,Jan,6.6,CPCB 2018
2,Conductivity,µs/cm,Jan,644.0,CPCB 2018
3,DO,mg/l,Jan,,CPCB 2018
4,COD,mg/l,Jan,261.0,CPCB 2018
5,BOD,mg/l,Jan,161.0,CPCB 2018
6,NO3-N,mg/l,Jan,5.9,CPCB 2018
7,NH3-N,mg/l,Jan,23.0,CPCB 2018
8,Phosphate,mg/l,Jan,2.55,CPCB 2018
9,TSS,mg/l,Jan,100.0,CPCB 2018
10,TDS,mg/l,Jan,326.0,CPCB 2018
11,FS,mg/l,Jan,267.0,CPCB 2018
12,Turbidity,NTU,Jan,110.0,CPCB 2018
13,TH as CaCO3,mg/l,Jan,190.0,CPCB 2018
14,Ca as CaCO3,mg/l,Jan,118.0,CPCB 2018
15,Mg as CaCO3,mg/l,Jan,72.0,CPCB 2018
16,Sulphate,mg/l,Jan,66.0,CPCB 2018
17,Chloride,mg/l,Jan,42.0,CPCB 2018
18,Total alkalinity as CaCO3,mg/l,Jan,260.0,CPCB 2018
19,P-Alkalinity,mg/l,Jan,,CPCB 2018
20,Fluoride,mg/l,Jan,0.28,CPCB 2018
21,Colour,Hazen,Jan,30.0,CPCB 2018
22,Boron(B),mg/l,Jan,0.19,CPCB 2018
23,TKN,mg/l,Jan,4.2,CPCB 2018
24,Potassium,mg/l,Jan,7.0,CPCB 2018
25,Sodium,mg/l,Jan,23.0,CPCB 2018
26,Total Coliform,MPN/100ml,Jan,,CPCB 2018
27,Faecal Coliform,MPN/100ml,Jan,,CPCB 2018
28,pH,-,Feb,6.9,CPCB 2018
29,Conductivity,µs/cm,Feb,551.0,CPCB 2018
30,DO,mg/l,Feb,0.6,CPCB 2018
31,COD,mg/l,Feb,261.0,CPCB 2018
32,BOD,mg/l,Feb,117.0,CPCB 2018
33,NO3-N,mg/l,Feb,,CPCB 2018
34,NH3-N,mg/l,Feb,17.0,CPCB 2018
35,Phosphate,mg/l,Feb,2.05,CPCB 2018
36,TSS,mg/l,Feb,149.0,CPCB 2018
37,TDS,mg/l,Feb,259.0,CPCB 2018
38,FS,mg/l,Feb,269.0,CPCB 2018
39,Turbidity,NTU,Feb,160.0,CPCB 2018
40,TH as CaCO3,mg/l,Feb,206.0,CPCB 2018
41,Ca as CaCO3,mg/l,Feb,100.0,CPCB 2018
42,Mg as CaCO3,mg/l,Feb,106.0,CPCB 2018
