SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location
1,pH,,,2024,7.6,Green tribunal,NCC01 - Sector 36
2,COD,mg/l,,2024,90,Green tribunal,NCC01 - Sector 36
3,BOD,mg/l,,2024,28,Green tribunal,NCC01 - Sector 36
4,TSS,mg/l,,2024,23,Green tribunal,NCC01 - Sector 36
5,TDS,mg/l,,2024,380,Green tribunal,NCC01 - Sector 36
6,Conductivity,mg/l,,2024,815,Green tribunal,NCC01 - Sector 36
7,Chloride,mg/l,,2024,46,Green tribunal,NCC01 - Sector 36
8,Phosphate-P,mg/l,,2024,0.7,Green tribunal,NCC01 - Sector 36
9,NO2-N,mg/l,,2024,0.06,Green tribunal,NCC01 - Sector 36
10,NO3-N,mg/l,,2024,0,Green tribunal,NCC01 - Sector 36
11,NH3-N,mg/l,,2024,7,Green tribunal,NCC01 - Sector 36
12,SO4,mg/l,,2024,72,Green tribunal,NCC01 - Sector 36
13,Colour,CU,,2024,0,Green tribunal,NCC01 - Sector 36
14,TKN,mg/l,,2024,9,Green tribunal,NCC01 - Sector 36
15,T-Coliform,MPN/100 ml,,2024,35x10^4,Green tribunal,NCC01 - Sector 36
