SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location
1,pH,-,Nov,2024,8.1,professor,"Attawa Choa (Leisure valley garden, Mohali)"
2,pH,-,Dec,2024,7.8,professor,"Attawa Choa (Leisure valley garden, Mohali)"
3,pH,-,Jan,2025,7.5,professor,"Attawa Choa (Leisure valley garden, Mohali)"
4,TDS,mg/l,Nov,2024,341.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
5,TDS,mg/l,Dec,2024,352.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
6,TDS,mg/l,Jan,2025,349.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
7,Conductivity,µs/cm,Nov,2024,682.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
8,Conductivity,µs/cm,Dec,2024,702.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
9,Conductivity,µs/cm,Jan,2025,698.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
10,Temperature,°C,Nov,2024,25.6,professor,"Attawa Choa (Leisure valley garden, Mohali)"
11,Temperature,°C,Dec,2024,18.7,professor,"Attawa Choa (Leisure valley garden, Mohali)"
12,Temperature,°C,Jan,2025,17.5,professor,"Attawa Choa (Leisure valley garden, Mohali)"
13,TSS,mg/l,Nov,2024,312.00000000000114,professor,"Attawa Choa (Leisure valley garden, Mohali)"
14,TSS,mg/l,Dec,2024,22.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
15,TSS,mg/l,Jan,2025,102.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
16,VSS,mg/l,Nov,2024,261.99999999999335,professor,"Attawa Choa (Leisure valley garden, Mohali)"
17,VSS,mg/l,Dec,2024,12.499999999988631,professor,"Attawa Choa (Leisure valley garden, Mohali)"
18,VSS,mg/l,Jan,2025,88.00000000000807,professor,"Attawa Choa (Leisure valley garden, Mohali)"
19,Fixed Suspended Solids,mg/l,Nov,2024,50.000000000007816,professor,"Attawa Choa (Leisure valley garden, Mohali)"
20,Fixed Suspended Solids,mg/l,Dec,2024,9.999999999994458,professor,"Attawa Choa (Leisure valley garden, Mohali)"
21,Fixed Suspended Solids,mg/l,Jan,2025,13.500000000004066,professor,"Attawa Choa (Leisure valley garden, Mohali)"
22,COD,mg/l,Nov,2024,122.0000000000001,professor,"Attawa Choa (Leisure valley garden, Mohali)"
23,COD,mg/l,Dec,2024,62.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
24,COD,mg/l,Jan,2025,37.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
25,BOD,mg/l,Nov,2024,4.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
26,BOD,mg/l,Dec,2024,5.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
27,BOD,mg/l,Jan,2025,20.0,professor,"Attawa Choa (Leisure valley garden, Mohali)"
28,NO3-N,mg/l,Nov,2024,3.36,professor,"Attawa Choa (Leisure valley garden, Mohali)"
29,NO3-N,mg/l,Dec,2024,3.99,professor,"Attawa Choa (Leisure valley garden, Mohali)"
30,NO3-N,mg/l,Jan,2025,5.4,professor,"Attawa Choa (Leisure valley garden, Mohali)"
31,Phosphate,mg/l,Nov,2024,1.07,professor,"Attawa Choa (Leisure valley garden, Mohali)"
32,Phosphate,mg/l,Dec,2024,0.46,professor,"Attawa Choa (Leisure valley garden, Mohali)"
33,Phosphate,mg/l,Jan,2025,0.32,professor,"Attawa Choa (Leisure valley garden, Mohali)"
