SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location
1,pH,-,Nov,2024,9.3,professor,Attawa Choa Sec. 67 (Mohali)
2,pH,-,Dec,2024,7.9,professor,Attawa Choa Sec. 67 (Mohali)
3,pH,-,Jan,2025,8.0,professor,Attawa Choa Sec. 67 (Mohali)
4,TDS,mg/l,Nov,2024,164.0,professor,Attawa Choa Sec. 67 (Mohali)
5,TDS,mg/l,Dec,2024,349.0,professor,Attawa Choa Sec. 67 (Mohali)
6,TDS,mg/l,Jan,2025,324.0,professor,Attawa Choa Sec. 67 (Mohali)
7,Conductivity,µs/cm,Nov,2024,324.0,professor,Attawa Choa Sec. 67 (Mohali)
8,Conductivity,µs/cm,Dec,2024,693.0,professor,Attawa Choa Sec. 67 (Mohali)
9,Conductivity,µs/cm,Jan,2025,653.0,professor,Attawa Choa Sec. 67 (Mohali)
10,Temperature,°C,Nov,2024,26.7,professor,Attawa Choa Sec. 67 (Mohali)
11,Temperature,°C,Dec,2024,20.7,professor,Attawa Choa Sec. 67 (Mohali)
12,Temperature,°C,Jan,2025,17.3,professor,Attawa Choa Sec. 67 (Mohali)
13,TSS,mg/l,Nov,2024,295.00000000000523,professor,Attawa Choa Sec. 67 (Mohali)
14,TSS,mg/l,Dec,2024,19.0,professor,Attawa Choa Sec. 67 (Mohali)
15,TSS,mg/l,Jan,2025,114.99999999999844,professor,Attawa Choa Sec. 67 (Mohali)
16,VSS,mg/l,Nov,2024,275.5000000000152,professor,Attawa Choa Sec. 67 (Mohali)
17,VSS,mg/l,Dec,2024,13.500000000004066,professor,Attawa Choa Sec. 67 (Mohali)
18,VSS,mg/l,Jan,2025,95.0000000000095,professor,Attawa Choa Sec. 67 (Mohali)
19,Fixed Suspended Solids,mg/l,Nov,2024,19.49999999999008,professor,Attawa Choa Sec. 67 (Mohali)
20,Fixed Suspended Solids,mg/l,Dec,2024,5.000000000006111,professor,Attawa Choa Sec. 67 (Mohali)
21,Fixed Suspended Solids,mg/l,Jan,2025,19.999999999988916,professor,Attawa Choa Sec. 67 (Mohali)
22,COD,mg/l,Nov,2024,92.00000000000011,professor,Attawa Choa Sec. 67 (Mohali)
23,COD,mg/l,Dec,2024,39.99999999999993,professor,Attawa Choa Sec. 67 (Mohali)
24,COD,mg/l,Jan,2025,24.00000000000001,professor,Attawa Choa Sec. 67 (Mohali)
25,BOD,mg/l,Nov,2024,6.0,professor,Attawa Choa Sec. 67 (Mohali)
26,BOD,mg/l,Dec,2024,11.0,professor,Attawa Choa Sec. 67 (Mohali)
27,BOD,mg/l,Jan,2025,22.0,professor,Attawa Choa Sec. 67 (Mohali)
28,NO3-N,mg/l,Nov,2024,0.45,professor,Attawa Choa Sec. 67 (Mohali)
29,NO3-N,mg/l,Dec,2024,4.0,professor,Attawa Choa Sec. 67 (Mohali)
30,NO3-N,mg/l,Jan,2025,1.0289421280323667,professor,Attawa Choa Sec. 67 (Mohali)
31,Phosphate,mg/l,Nov,2024,0.20107060034761454,professor,Attawa Choa Sec. 67 (Mohali)
32,Phosphate,mg/l,Dec,2024,1.2209707627956417,professor,Attawa Choa Sec. 67 (Mohali)
33,Phosphate,mg/l,Jan,2025,0.6438532118239465,professor,Attawa Choa Sec. 67 (Mohali)
