SrNo,Parameter,Unit,Month,Year,Value,Data Source,Location
1,pH,-,Nov,2024,8.2,professor,N-CHOE (Leisure valley parK CHD.)
2,pH,-,Dec,2024,8.1,professor,N-CHOE (Leisure valley parK CHD.)
3,pH,-,Jan,2025,7.8,professor,N-CHOE (Leisure valley parK CHD.)
4,TDS,mg/l,Nov,2024,310.0,professor,N-CHOE (Leisure valley parK CHD.)
5,TDS,mg/l,Dec,2024,341.0,professor,N-CHOE (Leisure valley parK CHD.)
6,TDS,mg/l,Jan,2025,335.0,professor,N-CHOE (Leisure valley parK CHD.)
7,Conductivity,µs/cm,Nov,2024,650.0,professor,N-CHOE (Leisure valley parK CHD.)
8,Conductivity,µs/cm,Dec,2024,672.0,professor,N-CHOE (Leisure valley parK CHD.)
9,Conductivity,µs/cm,Jan,2025,677.0,professor,N-CHOE (Leisure valley parK CHD.)
10,Temperature,°C,Nov,2024,25.8,professor,N-CHOE (Leisure valley parK CHD.)
11,Temperature,°C,Dec,2024,21.6,professor,N-CHOE (Leisure valley parK CHD.)
12,Temperature,°C,Jan,2025,18.2,professor,N-CHOE (Leisure valley parK CHD.)
13,TSS,mg/l,Nov,2024,343.0,professor,N-CHOE (Leisure valley parK CHD.)
14,TSS,mg/l,Dec,2024,13.0,professor,N-CHOE (Leisure valley parK CHD.)
15,TSS,mg/l,Jan,2025,124.0,professor,N-CHOE (Leisure valley parK CHD.)
16,VSS,mg/l,Nov,2024,267.4999999999983,professor,N-CHOE (Leisure valley parK CHD.)
17,VSS,mg/l,Dec,2024,2.4999999999941735,professor,N-CHOE (Leisure valley parK CHD.)
18,VSS,mg/l,Jan,2025,105.50000000000281,professor,N-CHOE (Leisure valley parK CHD.)
19,Fixed Suspended Solids,mg/l,Nov,2024,75.00000000000284,professor,N-CHOE (Leisure valley parK CHD.)
20,Fixed Suspended Solids,mg/l,Dec,2024,10.000000000012221,professor,N-CHOE (Leisure valley parK CHD.)
21,Fixed Suspended Solids,mg/l,Jan,2025,18.00000000001134,professor,N-CHOE (Leisure valley parK CHD.)
22,COD,mg/l,Nov,2024,58.00000000000004,professor,N-CHOE (Leisure valley parK CHD.)
23,COD,mg/l,Dec,2024,45.99999999999994,professor,N-CHOE (Leisure valley parK CHD.)
24,COD,mg/l,Jan,2025,43.0,professor,N-CHOE (Leisure valley parK CHD.)
25,BOD,mg/l,Nov,2024,8.0,professor,N-CHOE (Leisure valley parK CHD.)
26,BOD,mg/l,Dec,2024,13.0,professor,N-CHOE (Leisure valley parK CHD.)
27,BOD,mg/l,Jan,2025,20.0,professor,N-CHOE (Leisure valley parK CHD.)
28,NO3-N,mg/l,Nov,2024,5.7,professor,N-CHOE (Leisure valley parK CHD.)
29,NO3-N,mg/l,Dec,2024,4.06,professor,N-CHOE (Leisure valley parK CHD.)
30,NO3-N,mg/l,Jan,2025,5.1,professor,N-CHOE (Leisure valley parK CHD.)
31,Phosphate,mg/l,Nov,2024,0.75,professor,N-CHOE (Leisure valley parK CHD.)
32,Phosphate,mg/l,Dec,2024,0.38,professor,N-CHOE (Leisure valley parK CHD.)
33,Phosphate,mg/l,Jan,2025,0.57,professor,N-CHOE (Leisure valley parK CHD.)
